"","state.of.res","ID Customer","sex","Working","marital.stat","ins.health","Home Status","recent.move"
"734","Ohio",1057778,"F",NA,"Never Married",TRUE,"Rented",FALSE
"480","Minnesota",33651,"F",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"547","New Jersey",1181596,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"539","Nevada",867842,"F",NA,"Widowed",TRUE,"Homeowner free and clear",FALSE
"148","California",863391,"M",TRUE,"Married",TRUE,"Rented",FALSE
"466","Michigan",184686,"F",TRUE,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE
"609","New York",650961,"F",TRUE,"Never Married",TRUE,"Rented",FALSE
"552","New Jersey",565740,"F",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"195","Florida",220135,"M",TRUE,"Divorced/Separated",TRUE,"Rented",TRUE
"809","Pennsylvania",416624,"F",TRUE,"Married",TRUE,"Rented",FALSE
"380","Maine",1411860,"F",NA,"Widowed",TRUE,NA,NA
"476","Minnesota",912196,"F",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"446","Michigan",739344,"M",NA,"Widowed",TRUE,"Homeowner free and clear",FALSE
"156","Colorado",1390506,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"278","Illinois",847699,"M",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",TRUE
"357","Louisiana",598008,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"404","Massachusetts",361561,"F",NA,"Divorced/Separated",TRUE,"Rented",FALSE
"644","New York",1046696,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"920","Texas",22295,"M",TRUE,"Married",TRUE,"Homeowner free and clear",FALSE
"198","Florida",503412,"M",TRUE,"Never Married",TRUE,NA,NA
"874","Tennessee",1032120,"F",TRUE,"Married",FALSE,"Homeowner with mortgage/loan",FALSE
"56","California",65004,"F",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"52","California",1241524,"M",TRUE,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE
"130","California",1409249,"M",NA,"Married",TRUE,"Homeowner free and clear",FALSE
"163","Colorado",973386,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"630","New York",1131990,"F",TRUE,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE
"922","Texas",97247,"F",NA,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE
"581","New Jersey",66778,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"504","Missouri",607766,"F",TRUE,"Never Married",TRUE,"Rented",FALSE
"15","Arizona",1096606,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"86","California",1269661,"F",NA,"Married",FALSE,"Homeowner free and clear",FALSE
"972","Washington",491280,"M",NA,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"42","California",167154,"M",NA,"Never Married",FALSE,NA,NA
"967","Washington",1281448,"M",NA,"Widowed",TRUE,"Homeowner free and clear",FALSE
"554","New Jersey",68221,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"122","California",1159665,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
"511","Missouri",735845,"M",TRUE,"Married",TRUE,"Homeowner free and clear",FALSE
"863","South Carolina",103389,"F",TRUE,"Never Married",TRUE,"Rented",TRUE
"558","New Jersey",560783,"F",NA,"Never Married",TRUE,NA,NA
"152","California",1361709,"M",NA,"Married",TRUE,"Rented",FALSE
"820","Pennsylvania",980947,"F",NA,"Never Married",TRUE,"Rented",TRUE
"914","Texas",18487,"F",TRUE,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE
"44","California",616498,"M",TRUE,"Never Married",FALSE,"Rented",FALSE
"762","Ohio",779164,"M",TRUE,"Married",TRUE,"Homeowner with mortgage/loan",FALSE
