"cust.id"	"income"	"num.vehicles"	"age"	"age.normalized"	"Median.Income"	"income.norm"	"gp"	"income.lt.30K"	"age.range"
"82"	1222630	78000	2	52	0.0159136145266553	39832	1.95822454308094	0.53021628386341	FALSE	"(25,65]"
"170"	150055	78000	2	24	-1.46843970495677	61154	1.27546848938745	0.0421378156170249	FALSE	"[0,25]"
"167"	948494	385000	2	34	-0.938313519426975	61154	6.29558164633548	0.127317725215107	FALSE	"(25,65]"
"183"	338635	13200	1	21	-1.62747756061571	67784	0.194736220937094	0.954433841397986	TRUE	"[0,25]"
"714"	259807	440	NA	49	-0.143124241132283	52176	0.00843299601349279	0.948086035903543	TRUE	"(25,65]"
"962"	214083	54540	1	73	1.12917860413922	53914	1.01161108431947	0.934352763229981	FALSE	"(65,Inf]"
"352"	932143	50000	1	52	0.0159136145266553	48451	1.03197044436647	0.978173220530152	FALSE	"(25,65]"
"45"	461021	9600	2	64	0.652065037162409	39832	0.241012251456116	0.549291711999103	TRUE	"(25,65]"
"638"	506042	130100	1	51	-0.0370990040263242	44819	2.90278676454182	0.186964627122506	FALSE	"(25,65]"
"989"	1392011	402000	1	50	-0.0901116225793037	41073	9.78745161054708	0.353651765501127	FALSE	"(25,65]"
"945"	468344	35000	2	28	-1.25638923074485	53914	0.649182030641392	0.258605303941295	FALSE	"(25,65]"
"572"	550733	35020	1	30	-1.15036399363889	68187	0.513587634006482	0.843161137541756	FALSE	"(25,65]"
"268"	830758	4390	1	24	-1.46843970495677	49293	0.0890592984805145	0.178665754618123	TRUE	"[0,25]"
"334"	1236675	40200	1	39	-0.673250426662078	47526	0.845852796364095	0.489365199580789	FALSE	"(25,65]"
"64"	80274	37300	5	68	0.864115511374327	39832	0.93643301867845	0.409844817826524	FALSE	"(65,Inf]"
"891"	226840	70050	3	36	-0.832288282321016	41979	1.66869148860144	0.894871446304023	FALSE	"(25,65]"
"461"	12195	40000	3	48	-0.196136859685263	62634	0.638630775617077	0.763063561636955	FALSE	"(25,65]"
